Pregunta;Respuesta_Alumno
"¿Cuál de los siguientes es el tipo de dato primitivo en Java que ocupa menos espacio en memoria para almacenar números enteros?";"No respondida"
"En el diseño de programas (UD1), ¿qué diferencia el diseño general del diseño detallado?";"No respondida"
"¿Qué ocurre al realizar un 'casting' (conversión de tipo) explícito de un 'double' (ej. 9.78) a un 'int' en Java?";"No respondida"
"En Programación Orientada a Objetos, el concepto de 'Encapsulación' consiste principalmente en:";"No respondida"
"¿Qué modificador de acceso permite que un atributo o método sea visible en su propia clase y en todas las clases del mismo paquete, pero NO fuera de él?";"No respondida"
"¿Cómo se indica en Java que una clase hereda de otra?";"C) Usando la palabra reservada 'extends'."
"En Eclipse, si queremos generar la documentación técnica de nuestro proyecto automáticamente basándonos en nuestros comentarios, ¿qué tipo de comentario debemos usar?";"B) /* comentario */"
"¿Qué entendemos por 'sobrecarga de métodos' (Method Overloading) en Java?";"No respondida"
"¿Cuál de las siguientes afirmaciones sobre los constructores es correcta?";"No respondida"
"¿Qué función cumple el operador lógico '&&' (AND) en una instrucción 'if'?";"No respondida"
"Respecto al bucle 'do-while', ¿cuál es su característica distintiva principal frente al bucle 'while' tradicional?";"No respondida"
"Dentro de una estructura 'switch', ¿qué palabra reservada empleamos para salir del bloque una vez que se ha ejecutado el caso correspondiente?";"No respondida"
"Si queremos recorrer una matriz unidimensional (array) de 10 elementos mediante un bucle 'for', ¿cuál será el valor del último índice válido?";"C) 10"
"¿Qué ocurre si una porción de código dentro de un bloque 'try' lanza una excepción que no está capturada por ningún 'catch' asociado?";"No respondida"
"¿Qué uso tiene el bloque 'finally' dentro del control de excepciones?";"No respondida"
"Según la jerarquía de excepciones de Java, ¿qué clase es la 'madre' o superclase de todos los errores y excepciones?";"No respondida"
"¿Cuál es la principal característica de una interfaz en Java (pre-Java 8)?";"C) Se usa exclusivamente para diseñar la interfaz gráfica con Swing."
"El 'Polimorfismo' nos permite:";"No respondida"
"¿Qué conseguimos al declarar una clase con la palabra reservada 'final'?";"No respondida"
"Si tenemos la clase genérica `ArrayList<E>`, ¿qué significa la letra 'E'?";"No respondida"
"Al trabajar con colecciones en Java, ¿cuál es la gran diferencia funcional entre una 'List' y un 'Set'?";"C) Set es mucho más lento de recorrer que List."
"¿Qué implementación de la interfaz 'Map' utiliza internamente una tabla hash para almacenar pares clave/valor, garantizando búsquedas muy rápidas pero sin conservar el orden de entrada?";"No respondida"
"Tenemos la cadena: 'Java es genial'. ¿Qué método usaríamos para obtener la longitud total de esta cadena?";"No respondida"
"La utilidad principal de la clase 'StringTokenizer' (UD9) es:";"No respondida"
"En la jerarquía de flujos de Entrada/Salida (UD11), ¿cuál es la diferencia clave entre usar un 'InputStream' y un 'Reader'?";"No respondida"
"¿Para qué sirve exactamente la clase 'File' del paquete java.io?";"No respondida"
"Si necesitamos guardar (escribir) un objeto Java directamente en un archivo binario para mantener su persistencia nativa, ¿qué técnica utilizamos?";"No respondida"
"En Java, ¿qué sucede cuando se comparan dos objetos utilizando el operador `==` en lugar del método `.equals()`?";"No respondida"
"¿Qué palabra reservada empleamos en la declaración de un método para indicar que ese método 'delega' la responsabilidad de manejar una excepción hacia quien lo haya invocado?";"C) throws"
"Cuando hablamos de 'Entrada/Salida Estándar' (System.out y System.in) en consola, el objeto System.out representa por defecto:";"C) El flujo de salida estándar (habitualmente la pantalla/consola)."
