Pregunta;Respuesta_Alumno
"¿Qué palabra reservada se utiliza en Java para declarar una variable como constante, impidiendo que su valor sea modificado?";"C) final"
"Si declaramos una variable de tipo primitivo dentro de un bloque `if`, ¿cuál es su ámbito (scope)?";"B) Es accesible únicamente dentro de ese bloque if."
"¿Cuál de los siguientes es el operador relacional de igualdad en Java?";"D) =="
"¿Cuál es el punto de entrada principal de cualquier aplicación Java estándar?";"B) public static void main(String[] args)"
"¿Qué tipo de dato primitivo utilizarías para almacenar un valor de verdadero o falso?";"C) boolean"
"En Programación Orientada a Objetos, ¿qué es un constructor?";"A) Un método especial que se llama automáticamente al crear un objeto con 'new'."
"¿Qué palabra clave se usa para que una clase herede de otra en Java?";"B) extends"
"¿Cómo logramos el encapsulamiento básico de un atributo en Java?";"B) Declarando el atributo como 'private' y accediendo a él mediante métodos Getters y Setters."
"En el manejo de excepciones, ¿qué bloque de código se ejecuta SIEMPRE, haya ocurrido un error o no?";"D) finally"
"¿Qué excepción se lanza cuando intentamos acceder a un método de un objeto que es 'null'?";"B) NullPointerException"
"Si un array tiene un tamaño de 5, ¿cuál es el índice de su último elemento?";"B) 4"
"¿Qué característica de la POO permite que un mismo método responda de distintas formas según el objeto que lo llama?";"C) Polimorfismo"
"¿Puede una clase en Java heredar (extends) de múltiples clases a la vez?";"C) No, Java solo soporta herencia simple de clases."
"¿Qué palabra clave se usa para indicar que una clase firma un 'contrato' para implementar los métodos de una Interfaz?";"B) implements"
"La clase padre de TODAS las clases en Java es:";"C) Object"
"A diferencia de un Array tradicional estático (`int[]`), ¿qué ventaja principal ofrece un `ArrayList`?";"B) Su tamaño es dinámico y crece automáticamente al añadir elementos."
"Si necesitamos guardar pares de datos vinculados (ej. DNI -> Nombre) buscando un acceso muy rápido mediante la 'Clave', ¿qué colección es la ideal?";"C) HashMap"
"Queremos guardar una lista de correos electrónicos asegurándonos de que NO haya duplicados. ¿Qué colección usarías?";"A) HashSet"
"Para leer el texto de un fichero carácter a carácter de forma eficiente en Java, solemos combinar `FileReader` con:";"B) BufferedReader"
"Para poder guardar (serializar) un Objeto entero en un fichero binario, la clase del objeto DEBE implementar la interfaz:";"C) Serializable"
"Al conectar Java con una base de datos relacional (JDBC), ¿qué interfaz representa la conexión física con el servidor?";"B) Connection"
"Para evitar inyecciones SQL y pasar parámetros de forma segura a una consulta, ¿qué objeto de JDBC debemos utilizar?";"B) PreparedStatement"
"En JDBC, tras ejecutar un `SELECT`, los resultados devueltos por la base de datos se almacenan en un objeto de tipo:";"A) ResultSet"
"Si nuestra tabla se llama 'Empleados', ¿cuál es la sentencia SQL correcta para recuperar TODOS los datos?";"B) SELECT * FROM Empleados"
"En Neodatis, ¿qué método utilizamos para guardar un objeto entero en el archivo .odb sin necesidad de usar sentencias INSERT de SQL?";"C) odb.store()"
"Si ejecutamos `Objects<Coche> coches = odb.getObjects(Coche.class);` en Neodatis, ¿qué estamos haciendo?";"B) Recuperando todos los objetos de la clase Coche almacenados."
"¿Qué excepción típica (`Exception`) nos lanza Java si olvidamos añadir el archivo `.jar` de una librería (como SQLite, Neodatis o MongoDB) en el Build Path?";"B) ClassNotFoundException"
"En MongoDB, a diferencia de las bases de datos relacionales, la información no se guarda en filas (rows), sino en:";"C) Documentos JSON/BSON"
"Para que el 'PojoCodecProvider' de MongoDB pueda transformar automáticamente nuestros objetos Java a documentos JSON, ¿qué requisito indispensable debe cumplir nuestra clase Java?";"C) Tener un constructor vacío y métodos Getters/Setters."
"En MongoDB, al acceder a una colección específica para guardar un solo documento Java, utilizamos el método:";"A) .insertOne()"
