Pregunta;Respuesta_Alumno
"¿Cuál de los siguientes es el tipo de dato primitivo en Java que ocupa menos espacio en memoria para almacenar números enteros?";"C) byte"
"En el diseño de programas (UD1), ¿qué diferencia el diseño general del diseño detallado?";"B) El general define la arquitectura (módulos) y el detallado los algoritmos y pseudocódigo de cada proceso."
"¿Qué ocurre al realizar un 'casting' (conversión de tipo) explícito de un 'double' (ej. 9.78) a un 'int' en Java?";"C) Se trunca la parte decimal, guardándose únicamente el valor entero (9)."
"En Programación Orientada a Objetos, el concepto de 'Encapsulación' consiste principalmente en:";"A) Ocultar los detalles de implementación y proteger los atributos de una clase frente a modificaciones externas no controladas."
"¿Qué modificador de acceso permite que un atributo o método sea visible en su propia clase y en todas las clases del mismo paquete, pero NO fuera de él?";"C) default (paquete)"
"¿Cómo se indica en Java que una clase hereda de otra?";"C) Usando la palabra reservada 'extends'."
"En Eclipse, si queremos generar la documentación técnica de nuestro proyecto automáticamente basándonos en nuestros comentarios, ¿qué tipo de comentario debemos usar?";"C) /** comentario */ (Javadoc)"
"¿Qué entendemos por 'sobrecarga de métodos' (Method Overloading) en Java?";"B) Tener múltiples métodos en la misma clase con el mismo nombre, pero con diferente número o tipo de parámetros."
"¿Cuál de las siguientes afirmaciones sobre los constructores es correcta?";"B) Tienen el mismo nombre que la clase y no tienen un tipo de retorno definido (ni siquiera 'void')."
"¿Qué función cumple el operador lógico '&&' (AND) en una instrucción 'if'?";"C) Devuelve true exclusivamente si ambas condiciones son verdaderas a la vez."
"Respecto al bucle 'do-while', ¿cuál es su característica distintiva principal frente al bucle 'while' tradicional?";"B) El bloque de código del do-while se ejecuta siempre AL MENOS una vez, ya que la condición se evalúa al final."
"Dentro de una estructura 'switch', ¿qué palabra reservada empleamos para salir del bloque una vez que se ha ejecutado el caso correspondiente?";"C) break"
"Si queremos recorrer una matriz unidimensional (array) de 10 elementos mediante un bucle 'for', ¿cuál será el valor del último índice válido?";"B) 9"
"¿Qué ocurre si una porción de código dentro de un bloque 'try' lanza una excepción que no está capturada por ningún 'catch' asociado?";"C) La excepción se propaga hacia arriba en la pila de llamadas, pudiendo detener el programa abruptamente."
"¿Qué uso tiene el bloque 'finally' dentro del control de excepciones?";"B) Contiene código que se ejecutará SIEMPRE, haya ocurrido una excepción o no (ideal para cerrar recursos)."
"Según la jerarquía de excepciones de Java, ¿qué clase es la 'madre' o superclase de todos los errores y excepciones?";"D) Throwable"
"¿Cuál es la principal característica de una interfaz en Java (pre-Java 8)?";"A) Contiene únicamente constantes y firmas de métodos abstractos sin cuerpo (sin implementación)."
"El 'Polimorfismo' nos permite:";"B) Que distintas subclases respondan a un mismo mensaje (llamada a método) de manera diferente, según su propia implementación."
"¿Qué conseguimos al declarar una clase con la palabra reservada 'final'?";"C) Impedir que otras clases puedan heredar (hacer extends) de ella."
"Si tenemos la clase genérica `ArrayList<E>`, ¿qué significa la letra 'E'?";"C) Es un parámetro de tipo formal genérico que representa el Tipo de Elemento que almacenará la colección."
"Al trabajar con colecciones en Java, ¿cuál es la gran diferencia funcional entre una 'List' y un 'Set'?";"B) List admite elementos duplicados y mantiene un orden de inserción; Set NO admite elementos duplicados."
"¿Qué implementación de la interfaz 'Map' utiliza internamente una tabla hash para almacenar pares clave/valor, garantizando búsquedas muy rápidas pero sin conservar el orden de entrada?";"C) HashMap"
"Tenemos la cadena: 'Java es genial'. ¿Qué método usaríamos para obtener la longitud total de esta cadena?";"B) frase.length()"
"La utilidad principal de la clase 'StringTokenizer' (UD9) es:";"C) Realizar análisis lexicográficos y dividir una cadena en subcadenas (tokens) utilizando uno o más delimitadores."
"En la jerarquía de flujos de Entrada/Salida (UD11), ¿cuál es la diferencia clave entre usar un 'InputStream' y un 'Reader'?";"B) InputStream lee flujos orientados a bytes (datos en crudo), mientras que Reader está especializado en flujos orientados a caracteres de texto."
"¿Para qué sirve exactamente la clase 'File' del paquete java.io?";"B) Es una abstracción que representa la ruta de un archivo o directorio, permitiendo consultar propiedades (tamaño, permisos) pero NO sirve para leer su contenido interno directamente."
"Si necesitamos guardar (escribir) un objeto Java directamente en un archivo binario para mantener su persistencia nativa, ¿qué técnica utilizamos?";"A) La Serialización (ObjectOutputStream)"
"En Java, ¿qué sucede cuando se comparan dos objetos utilizando el operador `==` en lugar del método `.equals()`?";"B) Devuelve true exclusivamente si ambas referencias apuntan exactamente a la misma dirección (al mismo objeto) en memoria."
"¿Qué palabra reservada empleamos en la declaración de un método para indicar que ese método 'delega' la responsabilidad de manejar una excepción hacia quien lo haya invocado?";"C) throws"
"Cuando hablamos de 'Entrada/Salida Estándar' (System.out y System.in) en consola, el objeto System.out representa por defecto:";"C) El flujo de salida estándar (habitualmente la pantalla/consola)."
