Pregunta;Respuesta_Alumno
"¿Qué es un algoritmo en programación?";"B) Un conjunto ordenado de operaciones sistemáticas para resolver un problema."
"¿Cómo se define un comentario de múltiples líneas en Java?";"C) /* comentario */"
"¿Cuál de los siguientes NO es un tipo de dato primitivo en Java?";"C) String"
"¿Qué modificador de acceso permite que un atributo sea visible solo dentro de su propia clase?";"C) private"
"¿Qué palabra reservada se utiliza para hacer referencia al objeto actual dentro de un método de instancia?";"C) this"
"¿Qué ocurre en Java cuando un objeto deja de estar referenciado por alguna variable?";"B) El recolector de basura (Garbage Collector) lo elimina de la memoria."
"¿Para qué se utiliza la cláusula `throws` en la declaración de un método?";"B) Para indicar que el método puede lanzar una o más excepciones al código que lo llama."
"¿Qué diferencia principal hay entre una interfaz y una clase abstracta en Java?";"B) Una clase puede implementar múltiples interfaces, pero solo puede heredar de una clase abstracta."
"¿Qué método de la clase `String` devuelve la longitud de la cadena de texto?";"C) length()"
"En la jerarquía de colecciones, ¿cuál de las siguientes interfaces NO permite almacenar elementos duplicados?";"B) Set"
"¿Qué implementación de la interfaz `Map` usarías para almacenar pares clave-valor sin importar el orden interno?";"C) HashMap"
"¿Qué clase de flujo (Stream) se utiliza preferentemente para leer archivos de texto, carácter a carácter?";"B) FileReader"
"¿Qué interfaz de JDBC representa una instrucción SQL precompilada que acepta parámetros de forma segura?";"B) PreparedStatement"
"En Neodatis, ¿qué interfaz utilizamos típicamente para estructurar una consulta de búsqueda de objetos?";"C) IQuery"
"En MongoDB, ¿qué formato estructurado se usa para almacenar los datos en los documentos de sus colecciones?";"D) Documentos tipo JSON/BSON"
"¿Qué palabra reservada se utiliza en la firma de una clase para evitar que pueda ser heredada (subclasificada) por otra?";"C) final"
"¿Qué operador lógico de Java se usa para comprobar si un objeto concreto es una instancia de una clase específica?";"D) instanceof"
"Si deseamos convertir un texto ('123') a un número entero primitivo en Java, ¿qué método debemos emplear?";"A) Integer.parseInt('123')"
"¿Cuál es el propósito del bloque `catch` dentro del manejo de errores?";"B) Capturar y tratar una excepción que ha sido lanzada en el bloque try anterior."
"¿Qué concepto central de la Programación Orientada a Objetos permite que diferentes clases respondan a la llamada del mismo método de formas distintas?";"B) Polimorfismo"
"En el ciclo de vida de un objeto, ¿quién se encarga de ejecutar su constructor?";"A) El operador 'new' en el momento exacto de la instanciación."
"¿Cuál es la 'superclase' raíz de la cual heredan absolutamente todas las demás clases en Java, ya sea directa o indirectamente?";"C) Object"
"¿Para qué se utiliza comúnmente la clase `StringTokenizer` en Java?";"B) Para dividir una cadena larga en subcadenas (tokens) en función de un delimitador específico."
"Si queremos recorrer una colección de elementos secuencialmente sin usar índices numéricos, la forma más estándar es mediante un objeto de tipo:";"C) Iterator"
"¿Qué método de la interfaz `Connection` en JDBC se invoca para crear un objeto `Statement` que envíe consultas SQL simples a la BD?";"B) createStatement()"
"En el estándar JDBC, ¿qué entendemos por 'Driver'?";"C) Un componente de software específico (librería) que traduce las peticiones Java para que un motor de BD concreto las entienda."
"En las bases de datos NoSQL orientadas a documentos como MongoDB, ¿cómo se denominan las agrupaciones equivalentes a las 'tablas' relacionales?";"D) Colecciones"
"¿Qué método oficial de la API sincrónica de MongoDB en Java usamos para insertar múltiples documentos a la vez en una colección?";"B) insertMany()"
"Según la directriz tecnológica del curso de programación en Java que estamos impartiendo, ¿qué IDE deben utilizar los alumnos para todos sus proyectos?";"C) Eclipse 2025.12"
"En Neodatis, cuando ejecutamos una consulta `odb.getObjects(...)` para obtener registros, ¿qué tipo de colección especial nos devuelve la base de datos?";"A) Objects<T>"
